title,author,venue_name,publish_date,url,code,crawl_timestamp
"""ENHANCING INFORMATION RETRIEVAL IN AZURE COGNITIVE SEARCH""","Kashish Parwani, Sandeep Das, Rahul Raj, Sarvam Mittal","<ul><li><span style=""color:#FF5733;"">Journal of Analysis and Computations</span></li></ul>","<li><span style=""color:#FF5733;"">2023-06-01</span></li>","<ul><li><a href=""https://doi.org/10.30696/jac.xvii.1.2023.55-64"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:03:47
"""Evaluation of the Scalability and Performance of the Open Source Serverless Computing Platforms""",,"<ul><li><span style=""color:#FF5733;"">JST Smart Systems and Devices</span></li></ul>","<li><span style=""color:#FF5733;"">2025-01-15</span></li>","<ul><li><a href=""https://doi.org/10.51316/jst.179.ssad.2025.35.1.1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:01:28
"""Serverless Computing"", Funciones como Servicio (FaaS) para el soporte de cargas computacionales en la nube",Javier Rodriguez Dominguez,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2021-01-15</span></li>","<ul><li><a href=""https://riunet.upv.es/handle/10251/159165"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:01:11
$$\mathbf L^2SCD$$: Low-Latency Serverless Computing Dispatcher via Programmable Network Hardware,"Liu Song, Yinhe Luo, Jing Xu, Xinjing Yuan, Jianzhong Zhang","<ul><li><span style=""color:#FF5733;"">Lecture notes in computer science</span></li></ul>","<li><span style=""color:#FF5733;"">2025-01-01</span></li>","<ul><li><a href=""https://doi.org/10.1007/978-981-96-2830-8_28"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:02:00
$$\textiti2kit$$: A Deployment Tool with the Simplicity of Containers and the Security of Virtual Machines,"Pablo Chico de Guzmán, Felipe Gorostiaga, César Sánchez","<ul><li><span style=""color:#FF5733;"">Lecture notes in computer science</span></li></ul>","<li><span style=""color:#FF5733;"">2018-01-01</span></li>","<ul><li><a href=""https://doi.org/10.1007/978-3-030-02922-7_6"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:03:50
$\lambda$-NIC: Interactive Serverless Compute on Programmable SmartNICs,"Sean Choi, Muhammad Shahbaz, Balaji Prabhakar, Mendel Rosenblum","<ul><li><span style=""color:#FF5733;"">arXiv (Cornell University)</span></li></ul>","<li><span style=""color:#FF5733;"">2019-09-26</span></li>","<ul><li><a href=""https://arxiv.org/pdf/1909.11958"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:00:27
$\mathbf L2SCD$: Low-Latency Serverless Computing Dispatcher via Programmable Network Hardware,"Song Liu, Yangyu Luo, Jiapei Xu, Xinjing Yuan, Jianzhong Zhang","<ul><li><span style=""color:#FF5733;"">NPC</span></li></ul>","<li><span style=""color:#FF5733;"">2024-01-01</span></li>","<ul><li><a href=""https://doi.org/10.1007/978-981-96-2830-8_28"" target=""_blank"" style=""color:#FF5733;"">[DBLP]</a></li></ul>",,2025-07-17 17:17:20
$λ$-NIC: Interactive Serverless Compute on Programmable SmartNICs,"Sean Choi, Muhammad Shahbaz, Balaji Prabhakar, Mendel Rosenblum","<ul><li><span style=""color:#FF5733;"">arXiv (Cornell University)</span></li></ul>","<li><span style=""color:#FF5733;"">2019-09-26</span></li>","<ul><li><a href=""http://arxiv.org/abs/1909.11958v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:00:48
$λ$FS: A Scalable and Elastic Distributed File System Metadata Service using Serverless Functions,"Benjamin Carver, Runzhou Han, J. Zhang, Mai Zheng, Yue Cheng","<ul><li><span style=""color:#FF5733;"">arXiv (Cornell University)</span></li></ul>","<li><span style=""color:#FF5733;"">2023-01-01</span></li>","<ul><li><a href=""https://arxiv.org/abs/2306.11877"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:02:00
&lt;monospace&gt;nvramdisk&lt;/monospace&gt;: A Transactional Block Device Driver for Non-Volatile RAM,"Jaemin Jung, Youjip Won","<ul><li><span style=""color:#FF5733;"">IEEE Transactions on Computers</span></li></ul>","<li><span style=""color:#FF5733;"">2015-05-01</span></li>","<ul><li><a href=""https://doi.org/10.1109/tc.2015.2428708"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-17 16:02:53
